S,betabeta,betamu,deviance,gamma,sd,sd2,sd3
-0.433917781,0.012016166,0.002023307,-2849.590978,0.606981775,0.20088404,5.76E-05,0.078598533
-0.449376091,0.013565833,0.002027358,-2870.000135,0.614768732,0.20168164,7.06E-05,0.089253878
-0.462658206,0.013954255,0.001999391,-2870.988083,0.618887387,0.199289536,6.85E-05,0.075672744
-0.481519974,0.015965161,0.0020055,-2855.282527,0.627419855,0.202313111,6.40E-05,0.074913663
-0.482166893,0.01555716,0.002010885,-2870.042114,0.622483649,0.200948841,5.11E-05,0.068095546
-0.47036657,0.014115249,0.001996401,-2864.394458,0.611724885,0.204398866,5.49E-05,0.073085748
-0.545304474,0.018607626,0.001996093,-2862.20657,0.615647608,0.20259366,5.62E-05,0.075181234
-0.501121087,0.016047572,0.001985958,-2867.505865,0.63074268,0.202594136,6.55E-05,0.093596273
-0.452444426,0.015377158,0.001989202,-2872.545543,0.605437033,0.202444554,6.24E-05,0.065123246
-0.475232531,0.016554875,0.001972321,-2850.827604,0.606121669,0.202239864,5.50E-05,0.065281559
-0.462441499,0.014211149,0.001980004,-2866.872244,0.614102644,0.201253706,7.07E-05,0.061720333
-0.439644926,0.013644027,0.002003338,-2861.466004,0.626586016,0.199699378,8.72E-05,0.054012603
-0.405783164,0.012275008,0.002009192,-2867.232651,0.625513163,0.199386644,7.93E-05,0.052011296
-0.452545473,0.0142301,0.00201171,-2849.330021,0.625597007,0.204009529,8.69E-05,0.052818072
-0.451613274,0.013860465,0.002003863,-2858.898187,0.618075368,0.203964319,0.000101582,0.066172661
-0.488243315,0.016035435,0.002006435,-2859.985993,0.616362494,0.203924821,9.57E-05,0.068522915
-0.451517578,0.014557601,0.001971279,-2863.11025,0.61217039,0.200685292,0.000164596,0.061920921
-0.442711232,0.013962995,0.001940031,-2859.172843,0.63652001,0.202665555,0.000116514,0.06444219
-0.447680177,0.014148295,0.001877911,-2862.743476,0.616905187,0.19939795,0.000120016,0.04810084
-0.452700752,0.014233425,0.001863339,-2852.902962,0.630319959,0.197934924,0.000139522,0.044832583
-0.412599176,0.013380367,0.00184941,-2853.134382,0.62380867,0.198122127,0.000132806,0.043916417
-0.46957918,0.015364745,0.001867425,-2848.797869,0.626320524,0.202242068,0.000123704,0.049150515
-0.452019758,0.014832019,0.001883126,-2850.065548,0.623446366,0.200539591,0.000156003,0.051153536
-0.483997021,0.016122062,0.001926771,-2845.506964,0.612839488,0.200669087,0.000162945,0.045285548
-0.496646279,0.017775893,0.00189726,-2861.168062,0.621467694,0.20180971,0.000143247,0.061427732
-0.440486682,0.013401112,0.001887115,-2858.50591,0.596677118,0.202014241,0.000120643,0.069693917
-0.478748758,0.015650999,0.001895402,-2870.714479,0.606115641,0.201631124,0.000105566,0.091340996
-0.463905662,0.014368985,0.001892568,-2871.745126,0.60746672,0.202368745,0.000113701,0.072496919
-0.387103364,0.011686452,0.001915132,-2861.278942,0.630932687,0.202651858,7.81E-05,0.070841427
-0.440735472,0.014566911,0.001917673,-2863.636816,0.622865832,0.201001566,7.38E-05,0.070184787
-0.447661688,0.014172651,0.001910525,-2853.17031,0.611501322,0.201322339,6.86E-05,0.072170484
-0.442909603,0.013694113,0.001919363,-2866.221662,0.60859164,0.200562936,7.34E-05,0.05823553
-0.42978512,0.012954353,0.00191656,-2852.610418,0.630909177,0.200482626,5.45E-05,0.05439617
-0.499171407,0.017046161,0.001921171,-2856.342557,0.619757742,0.201371466,5.75E-05,0.066906046
-0.444068508,0.013855601,0.001904539,-2837.902145,0.601806307,0.202370094,6.12E-05,0.058438293
-0.433708959,0.013129166,0.001920758,-2871.069209,0.622256303,0.202009206,8.42E-05,0.047550183
-0.401981604,0.012261666,0.001932445,-2844.02243,0.637707634,0.204523358,7.09E-05,0.063895037
-0.413596282,0.013229676,0.001918546,-2844.527966,0.6136315,0.198609709,7.44E-05,0.061389701
-0.440144718,0.013654701,0.001878668,-2860.486884,0.60207359,0.199408684,8.21E-05,0.053848683
-0.434423221,0.012314052,0.001904886,-2856.272276,0.618329353,0.200398219,8.45E-05,0.0751941
-0.436190277,0.013742234,0.001898021,-2861.095811,0.617032786,0.201540844,8.98E-05,0.08596083
-0.448644242,0.015535515,0.001915765,-2863.73083,0.612579598,0.204249838,9.32E-05,0.091018984
-0.425247995,0.014355035,0.001905468,-2842.533422,0.624069692,0.204719657,9.66E-05,0.098880023
-0.43296991,0.015919064,0.001928368,-2867.120295,0.614784226,0.200184603,0.000107172,0.105948039
-0.498823578,0.017079204,0.001948482,-2863.945229,0.613027837,0.200272036,9.46E-05,0.104148452
-0.422980024,0.013268051,0.001919736,-2858.771655,0.622776641,0.202256306,8.33E-05,0.058806407
-0.504991144,0.016776501,0.001961924,-2860.01309,0.603990284,0.201978617,6.65E-05,0.088780075
-0.433451093,0.01274652,0.001981968,-2858.856211,0.612086018,0.202387913,7.01E-05,0.074358343
-0.47092889,0.013792228,0.002009972,-2865.432191,0.618611261,0.201018296,7.48E-05,0.064641232
-0.481985926,0.014472262,0.00202041,-2862.521651,0.614644928,0.202120181,8.96E-05,0.053913063
-0.483692047,0.014583634,0.001961871,-2858.299,0.60763138,0.201085932,9.15E-05,0.051533723
-0.484368566,0.015661158,0.001968923,-2866.023293,0.611514934,0.200966483,9.19E-05,0.055146756
-0.435273236,0.013608519,0.001966656,-2873.298342,0.606150349,0.199313196,0.000104696,0.059023665
-0.435281898,0.014332853,0.001962781,-2870.251712,0.621723834,0.203716377,0.00010766,0.064716071
-0.438006497,0.013376168,0.001924346,-2861.676513,0.616869235,0.200885132,8.66E-05,0.066964414
-0.413111262,0.013751062,0.001943707,-2861.183932,0.615382496,0.202410834,9.88E-05,0.073190494
-0.434163506,0.013910418,0.001922355,-2859.231912,0.621815673,0.202998778,7.51E-05,0.074702452
-0.464771963,0.014929715,0.00194355,-2837.745271,0.623878913,0.200583133,6.90E-05,0.069350078
-0.519467767,0.017805065,0.001944841,-2849.100929,0.635438087,0.202372282,6.74E-05,0.074955361
-0.433741713,0.013010565,0.001943203,-2865.065518,0.611877498,0.197651435,7.47E-05,0.064819171
-0.481298185,0.015601944,0.001948773,-2853.78673,0.618649961,0.204322262,7.41E-05,0.058094221
-0.448099576,0.01452044,0.001935419,-2864.734525,0.624419238,0.201618675,6.94E-05,0.056774716
-0.472769341,0.015054205,0.00191662,-2859.118371,0.61621665,0.203263857,0.000122085,0.062941378
-0.479253785,0.015751606,0.001929713,-2861.66082,0.599263316,0.20049818,0.000121508,0.085438673
-0.403873377,0.01058812,0.001965876,-2873.455824,0.620205521,0.198432345,0.00013336,0.0788724
-0.454788458,0.014651664,0.001936094,-2867.460731,0.61089511,0.196588857,0.000145356,0.09161027
-0.506464823,0.016873495,0.001988633,-2875.948966,0.609582554,0.203069845,0.000158691,0.086041343
-0.461733391,0.014555994,0.001993773,-2859.926294,0.619835041,0.200601234,0.000165182,0.085621496
